Zip code;State;Metro;County name;Date;Home value ($ per m2)
Timnath;CO;Fort Collins;Larimer County;2019-11-01;5103
Eads;CO;;Kiowa County;2019-04-01;36
Mosca;CO;;Alamosa County;2019-06-01;3568
Elbert;CO;Colorado Springs;El Paso County;2019-07-01;199
Drake;CO;Fort Collins;Larimer County;2019-01-01;308
Bedrock;CO;Montrose;Montrose County;2019-01-01;183
Yellow Jacket;CO;;Montezuma County;2019-07-01;166
Franktown;CO;Denver-Aurora-Lakewood;Douglas County;2019-11-01;261
Franktown;CO;Denver-Aurora-Lakewood;Douglas County;2019-10-01;261
Monte Vista;CO;;Rio Grande County;2019-12-01;112
South Fork;CO;;Rio Grande County;2019-01-01;906
Hartsel;CO;Denver-Aurora-Lakewood;Park County;2019-08-01;354
Woody Creek;CO;Glenwood Springs;Pitkin County;2019-12-01;371
Foxfield;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-11-01;294
La Salle;CO;Greeley;Weld County;2019-10-01;206
La Salle;CO;Greeley;Weld County;2019-08-01;206
Idledale;CO;Denver-Aurora-Lakewood;Jefferson County;2019-02-01;402
Buffalo Creek;CO;Denver-Aurora-Lakewood;Jefferson County;2019-07-01;205
Buffalo Creek;CO;Denver-Aurora-Lakewood;Jefferson County;2019-02-01;205
Crestone;CO;;Saguache County;2019-08-01;156
Nunn;CO;Greeley;Weld County;2019-04-01;231
Boone;CO;Pueblo;Pueblo County;2019-10-01;87
Moffat;CO;;Saguache County;2019-04-01;127
Moffat;CO;;Saguache County;2019-09-01;127
Guffey;CO;Denver-Aurora-Lakewood;Park County;2019-08-01;238
Poncha Springs;CO;;Chaffee County;2019-11-01;233
Sargents;CO;;Saguache County;2019-04-01;111
Empire;CO;Denver-Aurora-Lakewood;Clear Creek County;2019-06-01;242
Merino;CO;Sterling;Logan County;2019-06-01;154
Coal Creek;CO;Cañon City;Fremont County;2019-03-01;121
Estes Park;CO;Fort Collins;Larimer County;2019-11-01;790
Gold Hill;CO;Boulder;Boulder County;2019-10-01;291
Grand Lake;CO;;Grand County;2019-09-01;273
Nathrop;CO;;Chaffee County;2019-10-01;289
Clifton;CO;Grand Junction;Mesa County;2019-01-01;572
Clifton;CO;Grand Junction;Mesa County;2019-02-01;572
Milliken;CO;Greeley;Weld County;2019-06-01;185
Milliken;CO;Greeley;Weld County;2019-07-01;185
Milliken;CO;Greeley;Weld County;2019-01-01;185
Brookside;CO;Cañon City;Fremont County;2019-03-01;156
Grant;CO;Denver-Aurora-Lakewood;Park County;2019-07-01;250
Brookside;CO;Cañon City;Fremont County;2019-01-01;156
Brookside;CO;Cañon City;Fremont County;2019-09-01;156
Rye;CO;Pueblo;Pueblo County;2019-06-01;163
Manzanola;CO;;Otero County;2019-05-01;80
Stratton;CO;;Kit Carson County;2019-06-01;75
Georgetown;CO;Denver-Aurora-Lakewood;Clear Creek County;2019-06-01;258
Mountain Village;CO;;San Miguel County;2019-11-01;1705
Cotopaxi;CO;Cañon City;Fremont County;2019-06-01;198
Cotopaxi;CO;Cañon City;Fremont County;2019-07-01;198
Woodrow;CO;;Washington County;2019-09-01;97
Indian Hills;CO;Denver-Aurora-Lakewood;Jefferson County;2019-01-01;1938
Indian Hills;CO;Denver-Aurora-Lakewood;Jefferson County;2019-09-01;1938
West Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-05-01;1656
Mountain View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-03-01;388
Loma;CO;Grand Junction;Mesa County;2019-11-01;2441
Loma;CO;Grand Junction;Mesa County;2019-05-01;2441
Loma;CO;Grand Junction;Mesa County;2019-08-01;2441
Sedgwick;CO;;Sedgwick County;2019-03-01;42
Crowley;CO;;Crowley County;2019-11-01;38
Crowley;CO;;Crowley County;2019-06-01;38
Vona;CO;;Kit Carson County;2019-03-01;78
East Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-06-01;279
East Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-08-01;279
Mesa;CO;Grand Junction;Mesa County;2019-01-01;224
Amherst;CO;;Phillips County;2019-06-01;66
Seibert;CO;;Kit Carson County;2019-08-01;74
Antonito;CO;;Conejos County;2019-11-01;383
Antonito;CO;;Conejos County;2019-03-01;383
Antonito;CO;;Conejos County;2019-06-01;383
Haswell;CO;;Kiowa County;2019-01-01;32
Rangely;CO;;Rio Blanco County;2019-03-01;107
Silver Cliff;CO;;Custer County;2019-04-01;110
Meredith;CO;Glenwood Springs;Pitkin County;2019-11-01;379
Wiggins;CO;Fort Morgan;Morgan County;2019-10-01;135
Romeo;CO;;Conejos County;2019-12-01;61
Almont;CO;;Gunnison County;2019-08-01;329
Colorado City;CO;Pueblo;Pueblo County;2019-08-01;151
Simla;CO;Denver-Aurora-Lakewood;Elbert County;2019-12-01;115
Wild Horse;CO;;Cheyenne County;2019-04-01;104
Iliff;CO;Sterling;Logan County;2019-06-01;159
Iliff;CO;Sterling;Logan County;2019-07-01;159
Iliff;CO;Sterling;Logan County;2019-01-01;159
Norwood;CO;;San Miguel County;2019-11-01;188
Norwood;CO;;San Miguel County;2019-10-01;188
Egnar;CO;;San Miguel County;2019-01-01;222
Fowler;CO;;Otero County;2019-08-01;76
Jefferson;CO;Denver-Aurora-Lakewood;Park County;2019-02-01;238
Jefferson;CO;Denver-Aurora-Lakewood;Park County;2019-09-01;238
Holly;CO;;Prowers County;2019-10-01;54
Holly;CO;;Prowers County;2019-01-01;54
Arapahoe;CO;;Cheyenne County;2019-08-01;110
Arapahoe;CO;;Cheyenne County;2019-09-01;110
Morrison;CO;Denver-Aurora-Lakewood;Jefferson County;2019-11-01;634
Yoder;CO;Colorado Springs;El Paso County;2019-08-01;172
Clifton;CO;Grand Junction;Mesa County;2019-11-01;572
Crawford;CO;;Delta County;2019-05-01;229
Edwards;CO;Edwards;Eagle County;2019-12-01;2292
Edwards;CO;Edwards;Eagle County;2019-03-01;2292
Winter Park;CO;;Grand County;2019-01-01;454
Parker;CO;Denver-Aurora-Lakewood;Douglas County;2019-08-01;249
Collbran;CO;Grand Junction;Mesa County;2019-11-01;299
Grand Lake;CO;;Grand County;2019-12-01;273
Loma;CO;Grand Junction;Mesa County;2019-09-01;2441
Limon;CO;;Lincoln County;2019-05-01;103
Trinchera;CO;;Las Animas County;2019-07-01;129
Trinchera;CO;;Las Animas County;2019-02-01;129
Vernon;CO;;Yuma County;2019-07-01;129
Security-Widefield;CO;Colorado Springs;El Paso County;2019-06-01;353
Deer Trail;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-12-01;194
Deer Trail;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-06-01;194
Deer Trail;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-07-01;194
Deer Trail;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-02-01;194
Genoa;CO;;Lincoln County;2019-09-01;75
Steamboat Springs;CO;Steamboat Springs;Routt County;2019-12-01;1100
Steamboat Springs;CO;Steamboat Springs;Routt County;2019-03-01;1100
Steamboat Springs;CO;Steamboat Springs;Routt County;2019-08-01;1100
Snowmass Village;CO;Glenwood Springs;Pitkin County;2019-09-01;3051
Cahone;CO;;Dolores County;2019-11-01;91
Cahone;CO;;Dolores County;2019-10-01;91
Cahone;CO;;Dolores County;2019-01-01;91
Palmer Lake;CO;Colorado Springs;El Paso County;2019-02-01;283
Powderhorn;CO;;Gunnison County;2019-12-01;211
Kirk;CO;;Yuma County;2019-03-01;124
Cowdrey;CO;;Jackson County;2019-03-01;62
Black Forest;CO;Colorado Springs;El Paso County;2019-08-01;1085
Welby;CO;Denver-Aurora-Lakewood;Adams County;2019-02-01;268
Greenwood Village;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-04-01;494
Holly;CO;;Prowers County;2019-04-01;54
Peetz;CO;Sterling;Logan County;2019-11-01;132
Peetz;CO;Sterling;Logan County;2019-04-01;132
Firestone;CO;Greeley;Weld County;2019-04-01;179
Silverthorne;CO;Breckenridge;Summit County;2019-05-01;415
Silverthorne;CO;Breckenridge;Summit County;2019-02-01;415
Eldorado Springs;CO;Boulder;Boulder County;2019-06-01;591
Allenspark;CO;Boulder;Boulder County;2019-01-01;417
Whitewater;CO;Grand Junction;Mesa County;2019-08-01;207
Penrose;CO;Cañon City;Fremont County;2019-11-01;181
Penrose;CO;Cañon City;Fremont County;2019-09-01;181
Cherry Hills Village;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-04-01;733
Avon;CO;Edwards;Eagle County;2019-08-01;461
Silverthorne;CO;Breckenridge;Summit County;2019-07-01;415
Cripple Creek;CO;Colorado Springs;Teller County;2019-04-01;172
Eaton;CO;Greeley;Weld County;2019-07-01;242
Granby;CO;;Grand County;2019-04-01;249
Gunnison;CO;;Gunnison County;2019-03-01;239
Florissant;CO;Colorado Springs;Teller County;2019-08-01;201
Dacono;CO;Greeley;Weld County;2019-07-01;218
Mack;CO;Grand Junction;Mesa County;2019-09-01;180
Hamilton;CO;Craig;Moffat County;2019-06-01;164
Hooper;CO;;Alamosa County;2019-02-01;73
McClave;CO;;Bent County;2019-01-01;43
Burns;CO;Edwards;Eagle County;2019-02-01;183
Burns;CO;Edwards;Eagle County;2019-04-01;183
Oak Creek;CO;Steamboat Springs;Routt County;2019-05-01;1154
Pitkin;CO;;Gunnison County;2019-05-01;236
Padroni;CO;Sterling;Logan County;2019-05-01;156
Englewood;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-02-01;459
Northglenn;CO;Denver-Aurora-Lakewood;Adams County;2019-05-01;396
Bethune;CO;;Kit Carson County;2019-11-01;87
Wiley;CO;;Prowers County;2019-12-01;75
Lakewood;CO;Denver-Aurora-Lakewood;Jefferson County;2019-10-01;423
Denver;CO;Denver-Aurora-Lakewood;Denver County;2019-09-01;446
Westminster;CO;Denver-Aurora-Lakewood;Adams County;2019-05-01;625
Arvada;CO;Denver-Aurora-Lakewood;Jefferson County;2019-04-01;342
Pritchett;CO;;Baca County;2019-11-01;43
Pritchett;CO;;Baca County;2019-05-01;43
Haswell;CO;;Kiowa County;2019-12-01;32
Security-Widefield;CO;Colorado Springs;El Paso County;2019-05-01;353
Security-Widefield;CO;Colorado Springs;El Paso County;2019-08-01;353
Security-Widefield;CO;Colorado Springs;El Paso County;2019-02-01;353
Branson;CO;;Las Animas County;2019-11-01;70
Castle Rock;CO;Denver-Aurora-Lakewood;Douglas County;2019-03-01;184
Castle Rock;CO;Denver-Aurora-Lakewood;Douglas County;2019-06-01;184
Ken Caryl;CO;Denver-Aurora-Lakewood;Jefferson County;2019-04-01;515
Fraser;CO;;Grand County;2019-03-01;368
Fraser;CO;;Grand County;2019-02-01;368
Red Cliff;CO;Edwards;Eagle County;2019-09-01;293
Lone Tree;CO;Denver-Aurora-Lakewood;Douglas County;2019-02-01;222
Fort Lupton;CO;Greeley;Weld County;2019-01-01;219
Crook;CO;Sterling;Logan County;2019-06-01;137
Agate;CO;Denver-Aurora-Lakewood;Elbert County;2019-02-01;252
Superior;CO;Boulder;Boulder County;2019-02-01;267
Gypsum;CO;Edwards;Eagle County;2019-12-01;1004
Berthoud;CO;Fort Collins;Larimer County;2019-11-01;19976
Mc Coy;CO;Steamboat Springs;Routt County;2019-10-01;306
Chromo;CO;;Archuleta County;2019-02-01;178
Gypsum;CO;Edwards;Eagle County;2019-06-01;1004
Woodrow;CO;;Washington County;2019-12-01;97
Fort Collins;CO;Fort Collins;Larimer County;2019-01-01;718
Snyder;CO;Fort Morgan;Morgan County;2019-10-01;113
Parachute;CO;Glenwood Springs;Garfield County;2019-12-01;545
Wheat Ridge;CO;Denver-Aurora-Lakewood;Jefferson County;2019-09-01;513
Meeker;CO;;Rio Blanco County;2019-11-01;568
Watkins;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-01-01;302
Silt;CO;Glenwood Springs;Garfield County;2019-12-01;1402
Loveland;CO;Fort Collins;Larimer County;2019-01-01;935
Commerce City;CO;Denver-Aurora-Lakewood;Adams County;2019-12-01;357
La Veta;CO;;Huerfano County;2019-03-01;1091
Ramah;CO;Colorado Springs;El Paso County;2019-05-01;186
Rifle;CO;Glenwood Springs;Garfield County;2019-07-01;709
Castle Rock;CO;Denver-Aurora-Lakewood;Douglas County;2019-01-01;184
Todd Creek;CO;Denver-Aurora-Lakewood;Adams County;2019-07-01;1841
Nederland;CO;Boulder;Boulder County;2019-04-01;347
Conifer;CO;Denver-Aurora-Lakewood;Jefferson County;2019-10-01;304
Federal Heights;CO;Denver-Aurora-Lakewood;Adams County;2019-05-01;245
Federal Heights;CO;Denver-Aurora-Lakewood;Adams County;2019-02-01;245
